wheel,level,kannada,roman,english,literal,sthayi,also,note,notes,song,by,source,yt,start
bhava,wheel,ಭಾವಚಕ್ರ,bhāva-cakra,"Seven core feelings, three rings: the English feeling wheel put into Kannada, seams and all.",ಭಾವಚಕ್ರ,,,,,,,,,
bhava,0,ಸಂತೋಷ,santōṣa,Happy,,,"ಖುಷಿ|khuṣi|gladness, the most casual ;; ಹರ್ಷ|harṣa|joy, elevated ;; ಆನಂದ|ānanda|bliss ;; ಸಂತಸ|santasa|gladness, softer ;; ಹಿಗ್ಗು|higgu|swelling delight","Kannada keeps luck and gladness in separate words, where English <i>happy</i> still carries its old root <i>hap</i>, chance.",ಒಟ್ಟಾಗಿ ಹಾಡಬಹುದಾದ ಪರಿಚಿತ ಪಲ್ಲವಿ; ಸರಳ ಸಂತೋಷದಿಂದ ಉಲ್ಲಾಸದವರೆಗೆ ಈ ಮೂಲಭಾವ ಹೊರುತ್ತದೆ.,ಸಂತೋಷಕ್ಕೆ ಹಾಡು ಸಂತೋಷಕ್ಕೆ,,ಗೀತಾ,neLfupVwObI,39
bhava,1,ತುಂಟತನ,ṭuṇṭatana,Playful,,,,The mischief of a child you are not actually angry with.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ತುಂಟತನ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಬೊಂಡ ನಾ ಬಜ್ಜಿ ನಾ,,ಕೋತಿಗಳು ಸಾರ್ ಕೋತಿಗಳು,63rWWFGLMMQ,34
bhava,2,ಉದ್ರೇಕ,udrēka,Aroused,,,,"In Kannada ಉದ್ರೇಕ is not primarily erotic: a crowd, a temper and a nerve can all be ಉದ್ರಿಕ್ತ. It means charged, and the charge can go either way.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಉದ್ರೇಕ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಚುಟು ಚುಟು,,ರಾಂಬೊ 2,mK9C6wViwn4,28
bhava,2,ಕೀಟಲೆ,kīṭale,Cheeky,,,,"Teasing you are allowed to do, which makes it a claim about the relationship.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಕೀಟಲೆ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಪ್ಯಾರ್ಗೆ ಆಗ್ಬಿಟ್ಟೈತೆ,,ಗೋವಿಂದಾಯ ನಮಃ,eccBCKBmJr0,28
bhava,1,ತೃಪ್ತಿ,tṛpti,Content,,,ಸಂತೃಪ್ತಿ|santṛpti|full satisfaction ;; ತಣಿವು|taṇivu|slaked ;; ಸಮಾಧಾನ|samādhāna|settledness,"The right word was in there, sitting under moisture content and table of contents. ತೃಪ್ತಿ is satiety: the feeling after a meal, and after a life.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ತೃಪ್ತಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಆದದ್ದೆಲ್ಲ ಒಳಿತೇ ಆಯಿತು,,ಪುರಂದರದಾಸರ ಪದ,duJPkITAj6Q,32
bhava,2,ನಿರಾಳ,nirāḷa,Free,,,,"ಮುಕ್ತ and ಸ್ವತಂತ್ರ are freedoms of status: liberated, independent, tax-exempt. The <i>feeling</i> of free is ನಿರಾಳ: unclenched, the breath after the weight comes off.",ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ನಿರಾಳ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಹಾಯಾಗಿದೆ ದಿನ ಮನ,,ತಾಯಿ ದೇವರು,p-V14XUHV_0,28
bhava,2,ಹಿಗ್ಗು,higgu,Joyful,,,,To swell. Joy as something that expands you: the same verb for dough rising and for a chest filling.,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಹಿಗ್ಗು’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಖುಷಿಯಾಗಿದೆ ಏಕೋ,,ತಾಜ್ ಮಹಲ್,ZuMN2L0xlLY,28
bhava,1,ಆಸಕ್ತಿ,āsakti,Interested,,,,,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಆಸಕ್ತಿ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಎಲ್ಲೋ ಹುಡುಕಿದೆ ಇಲ್ಲದ ದೇವರ,ಸಿ. ಅಶ್ವತ್ಥ್,ಜಿ.ಎಸ್. ಶಿವರುದ್ರಪ್ಪ,qBAoqZOSMpM,25
bhava,2,ಕುತೂಹಲ,kutūhala,Curious,,,,,ಪಲ್ಲವಿಯ ಭಾವ ಮತ್ತು ಹಾಡಿನ ಸಂದರ್ಭ ‘ಕುತೂಹಲ’ ಎಂಬ ಸೂಕ್ಷ್ಮತೆಗೆ ಹತ್ತಿರವಾಗಿವೆ; ದೀರ್ಘ ಪ್ರಸ್ತಾವನೆಯ ಬದಲು ಮುಖ್ಯ ಹಿಡಿತದಿಂದ ಕೇಳಿ.,ಯಾವ ಕವಿಯು ಬರೆಯಲಾರ,,ಭಾಗ್ಯದ ಲಕ್ಷ್ಮಿ ಬಾರಮ್ಮ,67azQ_PEjv0,28
