ring,sector_en,english,kannada,transliteration,status,rala_hits,note
core,Happy,Happy,ಸಂತೋಷ,santōṣa,direct,ಸಂತೋಷದ ; ಸಂತುಷ್ಟ ; ಖುಷಿಯಾದ ; ನೆಮ್ಮದಿಯ ; ಭಾಗ್ಯವಂತನಾದ,"rala also returns ಭಾಗ್ಯವಂತ / ಅದೃಷ್ಟಶಾಲಿ — 'lucky'. English happy still carries its old root hap, chance. Kannada keeps luck and gladness in separate words."
branch,Happy,Playful,ತುಂಟತನ,ṭuṇṭatana,gap,ದ್ರೋಹ ಮಾಡು ⟨foul play⟩ ; ನಾಟಕಕಾರ ⟨playwright⟩ ; ಚಕ್ಕರ್ ಕೊಡು ⟨play truant⟩,"A clean miss. rala only knows play as the noun — foul play, playwright, child's play. The felt state is ತುಂಟತನ, the mischief of a child you are not actually angry with."
leaf,Happy,Aroused,ಉದ್ರೇಕ,udrēka,shaped,ಉದ್ರೇಕಗೊಳ್ಳು ; ಪ್ರಚೋದಿಸು ; ಕೆರಳಿಸು,"In Kannada ಉದ್ರೇಕ is not primarily erotic — a crowd, a temper and a nerve can all be ಉದ್ರಿಕ್ತ. It means charged, and the charge can go either way."
leaf,Happy,Cheeky,ಕೀಟಲೆ,kīṭale,shaped,ಉದ್ಧಟ ; ಒರಟುತನದ ; ದುರಹಂಕಾರದ,"rala's ಉದ್ಧಟ / ದುರಹಂಕಾರ are genuinely insulting. Cheeky is affectionate — that is ಕೀಟಲೆ, teasing you are allowed to do."
branch,Happy,Content,ತೃಪ್ತಿ,tṛpti,shaped,ತೃಪ್ತ ; ತೃಪ್ತಿ ; ಪರಿವಿಡಿ ⟨table of contents⟩ ; ತೇವಾಂಶ ⟨moisture content⟩,"The right word was in there, sitting under moisture content and table of contents. ತೃಪ್ತಿ is satiety — the feeling after a meal, and after a life."
leaf,Happy,Free,ನಿರಾಳ,nirāḷa,shaped,ಮುಕ್ತ ; ಸ್ವತಂತ್ರ ; ಕರಮುಕ್ತ ⟨duty-free⟩,"ಮುಕ್ತ and ಸ್ವತಂತ್ರ are freedoms of status — liberated, independent, tax-exempt. The feeling of free is ನಿರಾಳ: unclenched, the breath after the weight comes off."
leaf,Happy,Joyful,ಹಿಗ್ಗು,higgu,shaped,ಸಂತೋಷ ; ಉಲ್ಲಾಸ ; ಹರ್ಷ,ಹರ್ಷ and ಉಲ್ಲಾಸ are correct and Sanskritic. ಹಿಗ್ಗು is the native verb-noun: to swell. Joy as something that expands you.
branch,Happy,Interested,ಆಸಕ್ತಿ,āsakti,direct,ಆಸಕ್ತಿ ಇರುವ ; ಸಂಬಂಧವುಳ್ಳ ; ಪಕ್ಷಪಾತದ ⟨interested party⟩,
leaf,Happy,Curious,ಕುತೂಹಲ,kutūhala,direct,ಕುತೂಹಲಕಾರಿ ; ಕುತೂಹಲವುಳ್ಳ,
leaf,Happy,Inquisitive,ಜಿಜ್ಞಾಸೆ,jijñāse,shaped,ಕೆದಕುವ ; ಶೋಧಿಸುವ ; ವಿಚಾರಮಾಡುವ,"ಕೆದಕುವ is prying — poking at what isn't yours. ಜಿಜ್ಞಾಸೆ is the honourable version: the wish to know, the word used for philosophical enquiry."
